topic,total_count,pmid,title,source,pubdate
wearable device hypertension,423,42102242,A Novel Trans-Septal Cannula for Wearable Extracorporeal Membrane Oxygenation: In Vitro Hemodynamic Evaluation and Placement Feasibility.,ASAIO journal (American Society for Artificial Internal Organs : 1992),2026 May 08
wearable device hypertension,423,42122568,A Comparative Study of Signal Representations Methods and Deep Learning Architectures for PPG-Based Cuffless Blood Pressure Estimation.,"Sensors (Basel, Switzerland)",2026 May 02
wearable device hypertension,423,42140495,Wearable devices in the management of hypertension: Navigating the intersection between digital advancement and evidence-based practice.,"Clinical medicine (London, England)",2026 May
microbiome obesity,14812,42415234,A metabolite-dependent mechanism by which,Gut microbes,2026 Dec 31
microbiome obesity,14812,42343233,Effect of pasteurized,Gut microbes,2026 Dec 31
microbiome obesity,14812,42296178,Cardiovascular-kidney-metabolic syndrome through the lens of gut‑derived uremic toxins.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42265922,Colonic nutritional and physicochemical parameters drive gut microbiota dysbiosis in obesity: what we learned from the Ob-M-ARCOL model development.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42231528,Multiomics insights into the effects of prebiotics on physical function and metabolism in adults with obesity and knee osteoarthritis.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42228606,Microbial shifts in early life: the pediatric gut microbiome and its role in health and disease.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42199008,Increasing plant protein sources in the diet modulates gut microbiota and tryptophan metabolism in men at cardiometabolic risk.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42178725,"Soil-derived microbiota induces T regulatory cells and protect against mouse colitis, metabolic disease, and sepsis.",Gut microbes,2026 Dec 31
microbiome obesity,14812,42105281,Gut microbiota-regulated glutathione metabolic rhythms restore obesity-induced colonic inflammatory oscillations.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42092775,A novel bile salt hydrolase-producing,Gut microbes,2026 Dec 31
microbiome obesity,14812,42083504,Gut microbiota and immunometabolism in obesity.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42083330,Early postnatal antibiotic-associated gut microbiota alterations might promote long-term lipid metabolism via brown adipose tissue metabolic programming.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42070114,Lactic acid bacteria and endogenous ethanol mediate proton pump inhibitor-associated MASLD: a multicohort cross-sectional mediation analysis.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42026801,Calorie-restricted oat diet is associated with zonulin and short-chain fatty acid response in metabolic syndrome: a randomized controlled trial.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42015346,Gut microbiome and metabolic health: mechanisms and precision interventions.,Gut microbes,2026 Dec 31
microbiome obesity,14812,42010766,Exercise intensity as a modulator of gut microbiota and host metabolic health in obesity.,Gut microbes,2026 Dec 31
microbiome obesity,14812,41999240,The duodenal microbiota is compartmentalized and clinically stable yet rapidly responsive to nutrient exposure.,Gut microbes,2026 Dec 31
microbiome obesity,14812,41928384,Human fecal transplantation from stunted children promotes metabolic dysfunction in mice fed with a high-fat and high-fructose corn syrup diet.,Gut microbes,2026 Dec 31
microbiome obesity,14812,41906418,Dysregulated eating behaviour and microbiota-based interventions targeting eating disorders and food addiction.,Gut microbes,2026 Dec 31
microbiome obesity,14812,41845563,,Gut microbes,2026 Dec 31
